nodenumber,    x-coordinate,    y-coordinate,    z-coordinate
       288, 3.915782273E-02, 1.115059247E-03,-2.237552777E-03
       289, 4.445612058E-02,-1.122243237E-03,-2.233958337E-03
       290,-1.533767860E-02, 1.137237414E-03,-2.226362703E-03
       291, 5.833768472E-02, 1.137246261E-03,-2.226358280E-03
       292,-3.558997530E-03,-1.144831069E-03,-2.222467447E-03
       293, 1.064186078E-02, 1.145095681E-03,-2.222331241E-03
       294, 3.235813230E-02, 1.145105110E-03,-2.222326351E-03
       295, 4.688568413E-02, 1.145170885E-03,-2.222292358E-03
       296, 1.763431588E-03, 1.146057621E-03,-2.221835312E-03
       297, 5.699221417E-02, 1.151802600E-03,-2.218862530E-03
       298,-1.399194356E-02, 1.152616460E-03,-2.218439709E-03
       299, 9.054558177E-05, 1.154801226E-03,-2.217303263E-03
       300, 5.373293534E-02, 1.156986691E-03,-2.216163790E-03
       301,-1.073693112E-02, 1.158194966E-03,-2.215532586E-03
       302, 8.757832111E-04, 1.162233297E-03,-2.213416854E-03
       303, 4.260297120E-02, 1.162323868E-03,-2.213369124E-03
       304,-7.303105202E-03, 1.163933193E-03,-2.212523250E-03
       305, 4.497428017E-04,-1.170064090E-03,-2.209287137E-03
       306, 4.237061739E-02,-1.181464526E-03,-2.203211654E-03
       307, 1.497016102E-02,-7.152894341E-06,-2.202078234E-03
       308,-6.882862654E-03,-1.187276561E-03,-2.200085204E-03
       309, 4.988123849E-02,-1.187309041E-03,-2.200067509E-03
       310, 8.253380656E-03,-1.203089952E-03,-2.191477688E-03
       311, 3.474434093E-02,-1.203813474E-03,-2.191080246E-03
       312, 3.882291494E-03, 1.204146189E-03,-2.190897474E-03
       313, 5.206392333E-02,-1.209291746E-03,-2.188061597E-03
       314,-9.065229446E-03,-1.210778952E-03,-2.187239006E-03
       315, 5.434852466E-02,-1.214761753E-03,-2.185029443E-03
       316, 4.015261680E-02,-1.215051860E-03,-2.184868092E-03
       317, 4.789698496E-02,-1.215325086E-03,-2.184716286E-03
       318,-1.127629075E-02,-1.218504971E-03,-2.182944212E-03
       319, 4.894044250E-02, 1.236058073E-03,-2.173053334E-03
       320,-2.236231230E-03,-1.238066470E-03,-2.171909669E-03
       321,-4.928999580E-03,-1.252491958E-03,-2.163622761E-03
       322, 3.230823902E-03,-1.253759954E-03,-2.162888413E-03
       323,-5.866827443E-03, 1.256464282E-03,-2.161318436E-03
       324, 4.159695655E-02,-1.264321851E-03,-2.156731440E-03
       325,-6.103871274E-04, 1.265190192E-03,-2.156222006E-03
       326, 3.880250081E-02,-1.268286025E-03,-2.154402668E-03
       327,-1.960911788E-03, 1.270825509E-03,-2.152905567E-03
       328,-9.170020930E-04,-1.271177782E-03,-2.152697649E-03
       329,-1.320886426E-03, 1.293155830E-03,-2.139567165E-03
       330, 5.035271496E-02, 1.294013811E-03,-2.139048418E-03
       331, 6.869552657E-03,-1.296314877E-03,-2.137654694E-03
